Date,RQ
20000801,0.000310373
20000802,0.000318532
20000803,0.00040631
20000804,0.000265307
20000807,0.000112662
20000808,2.34492E-05
20000809,0.000229912
20000810,8.43569E-05
20000811,0.000163256
20000814,4.49607E-05
20000815,2.34344E-05
20000816,9.37075E-05
20000817,0.000137033
20000818,7.28973E-05
20000821,6.37488E-05
20000822,6.02369E-05
20000823,9.62385E-05
20000824,2.07872E-05
20000825,1.60341E-05
20000828,2.55146E-05
20000829,3.66837E-05
20000830,3.40723E-05
20000831,8.9336E-05
20000901,0.000122827
20000905,3.95632E-05
20000906,0.00018194
20000907,5.91415E-05
20000908,8.39109E-05
20000911,0.000373456
20000912,0.000122347
20000913,0.000223617
20000914,5.49433E-05
20000915,8.64412E-05
20000918,0.000232802
20000919,0.000165514
20000920,0.000611401
20000921,0.000465569
20000922,0.000496231
20000925,0.000109271
20000926,0.001053441
20000927,0.00055806
20000928,0.000398906
20000929,0.000407882
20001002,0.000752011
20001003,0.000511222
20001004,0.00101734
20001005,0.000554395
20001006,0.00113402
20001009,0.000306689
20001010,0.000761051
20001011,0.004923208
20001012,0.011715989
20001013,0.002045145
20001016,0.000363941
20001017,0.000892928
20001018,0.010291479
20001019,0.000607586
20001020,0.00015727
20001023,0.000344722
20001024,0.000522238
20001025,0.001843246
20001026,0.00320678
20001027,0.001408857
20001030,0.000872239
20001031,0.000108392
20001101,0.000241667
20001102,0.000383134
20001103,0.000263434
20001106,0.000121134
20001107,0.000145448
20001108,0.000922521
20001109,0.003112161
20001110,0.000984014
20001113,0.003164545
20001114,0.005579961
20001115,0.001684656
20001116,0.000385098
20001117,0.002950512
20001120,0.001214769
20001121,0.001846189
20001122,0.003579683
20001127,0.000209633
20001128,0.001225005
20001129,0.001200442
20001130,0.004185079
20001201,0.000881341
20001204,0.018342592
20001205,0.001875433
20001206,0.001008645
20001207,0.000197058
20001208,0.002158998
20001211,0.000308408
20001212,0.000668412
20001213,0.000768841
20001214,0.000901171
20001215,0.001654128
20001218,0.000322193
20001219,0.006157939
20001220,0.004520143
20001221,0.003154979
20001222,0.000808759
20001226,0.000159556
20001227,0.000391562
20001228,0.000178892
20001229,0.000319803
20010102,0.001630575
20010103,0.736384808
20010104,0.001715533
20010105,0.007165128
20010108,0.001978564
20010109,0.000524365
20010110,0.001046442
20010111,0.000440455
20010112,0.000596716
20010116,0.000557114
20010117,0.000285579
20010118,0.000359039
20010119,0.000647074
20010122,0.000335952
20010123,0.000184138
20010124,0.000288802
20010125,0.0003946
20010126,0.000272611
20010129,3.68247E-05
20010130,0.000103516
20010131,0.00086062
20010201,0.000192341
20010202,0.000198005
20010205,0.0001175
20010206,6.69014E-05
20010207,0.000133559
20010208,0.000100121
20010209,0.00010992
20010212,0.000163553
20010213,0.000175462
20010214,0.000250983
20010215,0.000158978
20010216,0.000167029
20010220,0.000220815
20010221,0.000705456
20010222,0.008883171
20010223,0.004409371
20010226,0.000494572
20010227,0.002303448
20010228,0.001659924
20010301,0.002497124
20010302,0.001721742
20010305,0.000312996
20010306,0.000153423
20010307,0.000291625
20010308,0.00019804
